location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200131T0700,10.210529,80.0,16.263872,242.30054
20200131T0800,9.910529,80.0,13.397612,239.30028
20200131T0900,10.650529,78.0,12.879752,243.43495
20200131T1000,12.590529,73.0,17.654686,253.41266
20200131T1100,14.030529,69.0,21.897945,260.5377
20200131T1200,14.920529,66.0,23.14103,264.64417
20200131T1300,14.810529,70.0,22.963936,260.98068
20200131T1400,15.120529,68.0,22.065973,264.38242
20200131T1500,15.440529,67.0,17.654688,267.6627
20200131T1600,15.320529,67.0,16.923828,268.78113
20200131T1700,14.210529,71.0,12.7279215,261.8699
20200131T1800,12.840529,74.0,10.315115,240.75117
20200131T1900,11.420529,78.0,10.383987,213.69006
20200131T2000,10.3005295,81.0,10.315115,209.24883
20200131T2100,9.850529,81.0,8.891343,211.75949
20200131T2200,9.200529,82.0,9.0,196.26021
20200131T2300,9.350529,82.0,8.435069,219.80557
20200201T0000,10.220529,78.0,7.5942082,211.42957
20200201T0100,8.230529,84.0,8.669949,184.76364
20200201T0200,7.5505285,87.0,8.707238,187.12502
20200201T0300,7.2805285,88.0,8.311245,184.96974
20200201T0400,9.290529,81.0,7.8625183,195.9454
20200201T0500,10.260529,76.0,8.225035,203.1986
20200201T0600,8.440529,78.0,9.422101,186.58194
20200201T0700,7.4605284,80.0,9.693296,158.1986
20200201T0800,7.5505285,80.0,10.587918,144.68878
20200201T0900,8.660529,79.0,9.885262,146.88866
20200201T1000,11.880529,70.0,10.44,226.39719
20200201T1100,13.110529,68.0,11.720751,280.61966
20200201T1200,13.150529,66.0,14.168641,242.78389
20200201T1300,15.0505295,55.0,23.110205,251.84729
20200201T1400,13.8005295,66.0,23.224882,251.00336
20200201T1500,13.650529,72.0,19.770523,236.88866
20200201T1600,13.080529,74.0,31.608328,255.48894
20200201T1700,12.490529,78.0,31.278593,258.04343
20200201T1800,11.970529,80.0,31.912327,258.9436
20200201T1900,11.250529,83.0,27.475807,264.7376
20200201T2000,10.730529,82.0,23.675303,261.25385
20200201T2100,10.510529,80.0,20.65848,247.45694
20200201T2200,10.240529,80.0,23.452555,252.1213
20200201T2300,10.090529,80.0,24.826952,253.1416
20200202T0000,9.860529,80.0,24.023088,250.75047
20200202T0100,9.760529,79.0,26.654589,253.52313
